user_id,user_type,display_name,link,reputation,account_id,bronze_badge,silver_badge,gold_badge
1504276,registered,user1504276,http://stackoverflow.com/users/1504276/user1504276,2338,1629413,7,8,3
919872,registered,Zelazny7,http://stackoverflow.com/users/919872/zelazny7,11287,559690,54,32,8
390388,registered,John,http://stackoverflow.com/users/390388/john,5877,166334,76,48,11
1661173,registered,tomasz74,http://stackoverflow.com/users/1661173/tomasz74,1774,1829257,29,18,4
31335,registered,PhE,http://stackoverflow.com/users/31335/phe,1220,15028,10,9,2
2428549,registered,natsuki_1996,http://stackoverflow.com/users/2428549/natsuki-1996,2017,2825884,36,19,7
458429,registered,szli,http://stackoverflow.com/users/458429/szli,1721,208131,26,17,3
1772165,registered,Timmie,http://stackoverflow.com/users/1772165/timmie,989,921423,6,7,2
1642513,registered,ezbentley,http://stackoverflow.com/users/1642513/ezbentley,3157,1316350,52,35,8
1560517,registered,appleLover,http://stackoverflow.com/users/1560517/applelover,1687,1700217,26,15,4
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4946,1074439,67,45,14
245549,registered,Roman,http://stackoverflow.com/users/245549/roman,14359,88863,289,200,94
983191,registered,zach,http://stackoverflow.com/users/983191/zach,4294,958289,63,32,7
2006977,registered,yemu,http://stackoverflow.com/users/2006977/yemu,2190,1187759,21,12,3
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4946,1074439,67,45,14
213216,registered,user7289,http://stackoverflow.com/users/213216/user7289,3432,74159,67,35,12
1005409,registered,Muppet,http://stackoverflow.com/users/1005409/muppet,1092,987187,22,11,2
867549,registered,TravisVOX,http://stackoverflow.com/users/867549/travisvox,1246,464193,25,15,5
345660,registered,Zach,http://stackoverflow.com/users/345660/zach,11013,139823,153,83,15
1505259,registered,marillion,http://stackoverflow.com/users/1505259/marillion,1421,1630617,32,23,6
1413778,registered,peoplesparkresident,http://stackoverflow.com/users/1413778/peoplesparkresident,525,1511883,9,4,2
1733061,registered,George Thompson,http://stackoverflow.com/users/1733061/george-thompson,677,1921701,10,7,2
1240268,registered,Andy Hayden,http://stackoverflow.com/users/1240268/andy-hayden,90023,515061,255,218,19
468604,registered,saveenr,http://stackoverflow.com/users/468604/saveenr,1481,214559,18,13,1
1560238,registered,beets,http://stackoverflow.com/users/1560238/beets,636,1699828,9,7,1
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4946,1074439,67,45,14
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4946,1074439,67,45,14
1072888,registered,bigbug,http://stackoverflow.com/users/1072888/bigbug,4946,1074439,67,45,14
1170342,registered,euforia,http://stackoverflow.com/users/1170342/euforia,476,1199352,5,5,1
1090629,registered,msakya,http://stackoverflow.com/users/1090629/msakya,756,1097312,15,8,1
